#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
12000	11.999999999998789	-94830.06034622013	299.1401449409811	0
14000	13.99999999999768	-97147.79174157247	301.88603089313847	2.32
16000	15.999999999996572	-97398.65130847011	298.2944669488515	2.32
18000	17.999999999999016	-98581.97037278616	299.7272956693018	2.32
20000	20.00000000000146	-98061.57024284214	300.33296472466964	2.32
22000	22.000000000003904	-100946.54389084	300.16418596508106	2.32
24000	24.00000000000635	-102431.32331234834	299.95629453305503	2.32
26000	26.000000000008793	-101880.52043399133	302.1704779244165	2.32
28000	28.000000000011237	-103409.13216557275	300.7809497155684	2.32
30000	30.00000000001368	-101259.4403837045	299.40549727719224	2.31
32000	32.00000000001612	-104311.65543466812	300.2522569703049	2.3
34000	34.00000000001146	-103078.57973847399	300.50743408591484	2.28
36000	36.0000000000068	-103883.9455712896	300.4327882351539	2.27
38000	38.00000000000214	-104503.83195979023	301.07765916887155	2.26
40000	39.99999999999748	-105814.59761986378	299.2053566919732	2.26
42000	41.999999999992816	-105451.90692012606	301.16345662206993	2.26
44000	43.999999999988155	-106083.44641544146	300.99469571675667	2.24
46000	45.999999999983494	-106609.32729807208	298.09298733991693	2.25
48000	47.99999999997883	-106743.55983467671	300.3594190439188	2.24
50000	49.99999999997417	-107636.17345584006	299.57903036207597	2.25
52000	51.99999999996951	-108614.53875080802	301.59107515096764	2.25
54000	53.99999999996485	-107281.28009452132	300.4221281308512	2.25
56000	55.99999999996019	-108452.30101098208	300.37419814701093	2.25
58000	57.99999999995553	-106246.45821951987	300.1517416703593	2.26
60000	59.999999999950866	-107354.67520750724	298.965389771621	2.26
62000	61.999999999946205	-106799.80164192928	300.2560192097968	2.26
64000	63.999999999941544	-108075.94446576555	300.58096824126727	2.26
66000	65.99999999995109	-107918.81524601878	301.3290869472194	2.26
68000	67.99999999996064	-108221.85059247594	300.324857441764	2.27
70000	69.99999999997019	-109268.98109593219	298.1658672237669	2.27
72000	71.99999999997974	-109383.24957936467	299.1353593387626	2.27
74000	73.99999999998929	-108397.3243862052	299.72203293266045	2.27
76000	75.99999999999883	-108528.67095477186	301.34907654544463	2.27
78000	78.00000000000838	-108349.72423901886	300.5009080582394	2.27
80000	80.00000000001793	-108188.78564918274	301.4165253334661	2.28
82000	82.00000000002748	-108612.43559293932	300.5244734755056	2.28
84000	84.00000000003703	-108485.56876535676	301.41060509633587	2.28
86000	86.00000000004658	-109844.12209203126	300.9760683398551	2.28
88000	88.00000000005613	-110060.79801015009	298.8915274614303	2.28
90000	90.00000000006568	-109470.61938832238	298.8724785987433	2.28
92000	92.00000000007523	-110386.60090875477	298.2923813074667	2.28
94000	94.00000000008478	-110551.68528906352	299.42498084199235	2.28
96000	96.00000000009433	-110671.79258509915	298.5803505712678	2.28
98000	98.00000000010388	-110684.54747454537	299.2160464009466	2.28
100000	100.00000000011343	-110494.88486670193	300.2644704903319	2.29
102000	102.00000000012298	-110950.72677310431	299.9983826235862	2.29
104000	104.00000000013253	-110744.94065504897	300.11514857852757	2.29
106000	106.00000000014208	-110293.6331664336	300.6063270506046	2.29
108000	108.00000000015163	-110584.43912341588	299.67548338351867	2.29
110000	110.00000000016118	-110961.71840687486	298.52323100991833	2.29
112000	112.00000000017073	-112668.38359282867	301.4221535793236	2.29
114000	114.00000000018028	-111055.0917156481	300.59197827378904	2.29
116000	116.00000000018983	-110425.29645647752	302.59623201777094	2.29
118000	118.00000000019938	-111948.2265122935	301.8100159567195	2.29
120000	120.00000000020893	-110691.51286824894	300.06189733124523	2.29
122000	122.00000000021848	-111014.43039842485	299.44139486627824	2.29
124000	124.00000000022803	-111288.94089668393	300.12242866056795	2.29
126000	126.00000000023758	-110766.55618990865	300.7005961504324	2.29
128000	128.00000000024713	-111713.72479457484	297.9892950898453	2.29
130000	130.00000000025668	-110819.16208835607	301.0335369403065	2.29
132000	132.00000000026623	-110753.14673885962	300.7794555106561	2.29
134000	134.00000000027578	-112543.30299454811	302.0593422323643	2.29
136000	136.00000000028533	-112195.49762294404	298.59415108854154	2.29
138000	138.00000000029488	-112733.85269592525	299.2738173919673	2.3
140000	140.00000000030442	-112476.84237372462	300.6469525643057	2.3
142000	142.00000000031397	-112427.76655113927	299.8985405165508	2.3
144000	144.00000000032352	-112739.66960899069	299.33655051852503	2.3
146000	146.00000000033307	-110868.16810068156	301.13833322587396	2.3
148000	148.00000000034262	-110731.45825450987	299.3228215146096	2.3
150000	150.00000000035217	-111992.06308777063	299.9083370789622	2.3
152000	152.00000000036172	-112775.59299177397	300.1200569700632	2.3
154000	154.00000000037127	-111410.41577075442	298.78452744068494	2.3
156000	156.00000000038082	-114554.66846615204	299.9258266363474	2.3
158000	158.00000000039037	-111034.05533014421	299.2983422416845	2.3
160000	160.00000000039992	-112377.07347069975	300.0117846841876	2.3
162000	162.00000000040947	-113926.60496414805	299.97287691263915	2.3
164000	164.00000000041902	-113125.66105850629	302.00358986983514	2.3
166000	166.00000000042857	-113036.08263556194	297.99406062007097	2.3
168000	168.00000000043812	-112426.48170594519	300.2900212956485	2.3
170000	170.00000000044767	-113876.28454750808	300.72549657319615	2.3
172000	172.00000000045722	-111345.4967331255	301.0199322962527	2.3
174000	174.00000000046677	-112790.67027416528	301.18367041789105	2.3
176000	176.00000000047632	-114131.48032496081	299.41237387896456	2.3
178000	178.00000000048587	-112968.52856550121	299.11362355637783	2.3
180000	180.00000000049542	-114515.32260177395	299.21061999996664	2.3
182000	182.00000000050497	-113930.52088571154	302.07063204132845	2.3
184000	184.00000000051452	-113768.63294024218	299.31795816552386	2.3
186000	186.00000000052407	-112985.14059454377	300.87730335591044	2.3
188000	188.00000000053362	-113361.17171675133	298.6885204210873	2.3
190000	190.00000000054317	-114356.5139140012	300.3959713939463	2.3
192000	192.00000000055272	-112005.91944778973	299.77964693705104	2.3
194000	194.00000000056227	-111244.93808810017	302.06353534619495	2.3
196000	196.00000000057182	-113015.4939730693	301.57605320216794	2.3
198000	198.00000000058137	-113758.9409366581	302.1422261613903	2.3
200000	200.00000000059092	-114538.71548133169	300.4495353750949	2.3
202000	202.00000000060047	-114800.91869067188	301.21762219005194	2.3
204000	204.00000000061002	-114417.88036748112	299.6078504886223	2.3
206000	206.00000000061956	-115497.275026132	299.79753304043277	2.3
208000	208.00000000062911	-113178.32833034731	301.36015852378216	2.3
210000	210.00000000063866	-113512.97219716449	301.8831872617934	2.3
212000	212.0000000006482	-113648.00050028745	299.7010516463816	2.3
214000	214.00000000065776	-115005.32832336274	300.4472385050856	2.3
216000	216.0000000006673	-114197.95960757369	300.58193201517366	2.3
218000	218.00000000067686	-113975.99773585709	301.49978937752195	2.3
220000	220.0000000006864	-114266.78873358216	300.7233524998553	2.3
222000	222.00000000069596	-115297.27386055407	302.5127748908789	2.3
224000	224.0000000007055	-114685.09446428888	298.8628067931494	2.3
226000	226.00000000071506	-114885.73435524144	302.0484401424499	2.3
228000	228.0000000007246	-114500.15753822823	298.7292048696997	2.3
230000	230.00000000073416	-114522.30670475593	299.88525354825805	2.3
232000	232.0000000007437	-114636.59196676422	298.532059215635	2.3
234000	234.00000000075326	-114735.72210349352	300.97715023823116	2.3
236000	236.0000000007628	-113333.1316144203	299.081649650993	2.3
238000	238.00000000077236	-114299.2373431033	299.31983817239103	2.3
240000	240.0000000007819	-113719.347077718	298.87759947272167	2.3
242000	242.00000000079146	-115175.20481402206	300.3603040729576	2.3
244000	244.000000000801	-114002.12813771513	301.4514623577978	2.3
246000	246.00000000081056	-116623.10400514831	300.7851777719325	2.3
248000	248.0000000008201	-115745.77848125924	299.9204328007235	2.3
250000	250.00000000082966	-115511.91153438398	299.52351711223656	2.3
252000	252.0000000008392	-115003.89779653549	300.9405465812915	2.3
254000	254.00000000084876	-115279.91132489473	300.39367248634005	2.3
256000	256.0000000008583	-114747.38769109262	301.1791096429356	2.3
258000	258.000000000811	-115413.40605630062	299.24349246891063	2.3
260000	260.0000000007637	-114932.48430307006	300.1408784113798	2.3
262000	262.0000000007164	-114223.33748712132	301.0825341671029	2.3
264000	264.0000000006691	-115357.83346991212	300.6457725084199	2.3
266000	266.0000000006218	-114762.6813883372	299.41355955773787	2.3
268000	268.0000000005745	-113425.80335149559	300.7476006057475	2.3
270000	270.0000000005272	-114545.51219165238	301.62947847615703	2.3
272000	272.00000000047993	-114305.57379141703	299.2600336917942	2.3
274000	274.00000000043264	-116237.36314163485	300.37083622772474	2.3
276000	276.00000000038534	-115774.82308757672	298.9613794446102	2.3
278000	278.00000000033805	-115283.77052423591	299.6013075310885	2.3
280000	280.00000000029075	-113929.24077567965	301.94294878058196	2.3
282000	282.00000000024346	-116651.54662139999	301.8250104429665	2.3
284000	284.00000000019617	-116290.46794302206	300.32161735212236	2.3
286000	286.0000000001489	-114966.70441117373	299.87450910586216	2.3
288000	288.0000000001016	-116250.68725075485	300.7508433990328	2.3
290000	290.0000000000543	-116510.98845596224	299.7427703714556	2.3
292000	292.000000000007	-116046.91738837343	302.37473122753164	2.3
294000	293.9999999999597	-115090.08021850997	298.1578990582781	2.3
296000	295.9999999999124	-115076.03215530384	299.8816388992753	2.3
